TT 坝珇,坝珇,ユ┮,基计,だ计锣传(PHI),"だ计锣传(PFC2)""2计"""
ZL,BO,CBT,1,1,#N/A
ZC,C,CBT,0.5,1,2
MYM,MYM,CBT,1,1,#N/A
ZR,RR,CBT,0.001,1,1
ZS,S,CBT,0.5,1,2
ZM,SM,CBT,1,1,#N/A
ZT,TU,CBT,0.8,32,3
ZN,TY,CBT,2,32,3
UB,UB,CBT,1,1,#N/A
ZB,US,CBT,1,1,#N/A
ZW,W,CBT,0.5,1,2
YC,YC,CBT,1,1,#N/A
XC,YC,CBT,1,1,#N/A
XB,YK,CBT,1,1,#N/A
XK,YK,CBT,1,1,#N/A
YM,YM,CBT,1,1,#N/A
YM,YM,CBT,1,1,#N/A
ZF,FV,CBT,0.4,32,3
6A,AD,CME,10000,1,1
6B,BP,CME,10000,1,1
6C,CD,CME,10000,1,1
NKD,CNK,CME,1,1,#N/A
6E,EC,CME,10000,1,1
M6E,ECM,CME,10000,1,1
GE,ED,CME,0.01,1,1
ES,ES,CME,1,1,#N/A
GF,FC,CME,0.001,1,1
6J,JY,CME,1000000,1,1
LE,LC,CME,0.001,1,1
HE,LH,CME,0.001,1,1
M2K,M2K,CME,1,1,#N/A
M6A,MAD,CME,10000,1,1
M6B,MBP,CME,10000,1,1
MES,MES,CME,1,1,#N/A
MJY,MJY,CME,1000000,1,1
MNQ,MNQ,CME,1,1,#N/A
6N,NE,CME,1,1,#N/A
NQ,NQ,CME,1,1,#N/A
RTY,RTY,CME,1,1,#N/A
6S,SF,CME,10000,1,1
E7,UROM,CME,10000,1,1
RY,RY,CME,0.01,1,1
EW3,ES3,CME,1,1,#N/A
EW4,ES4,CME,1,1,#N/A
EW2,ES2,CME,1,1,#N/A
EW1,ES1,CME,1,1,#N/A
OG,GC,CMX,1,1,#N/A
HG,HG,CMX,10000,1,1
MGC,MGC,CMX,1,1,#N/A
SI,SI,CMX,100,1,1
SIL,MSI,CMX,100,1,1
MCH,MCH,HKF,1,1,#N/A
MHI,MHI,HKF,1,1,#N/A
BRN,B,IPE,100,1,1
BZ,BZ,NYM,1,1,#N/A
CL,CL,NYM,1,1,#N/A
HO,HO,NYM,10000,1,1
NG,NG,NYM,1,1,#N/A
PA,PA,NYM,0.01,1,1
PL,PL,NYM,1,1,#N/A
QM,QM,NYM,1,1,#N/A
RB,RB,NYM,0.0001,1,1
CN,CN,SMX,1,1,#N/A
IN,IN,SMX,1,1,#N/A
SGP,SG,SMX,1,1,#N/A
SGP,SG,SMX,1,1,#N/A
NK,SSI,SMX,1,1,#N/A
TW,TW,SMX,1,1,#N/A
TWN,TWN,SMX,1,1,#N/A
GC,GC,CMX,1,1,#N/A
LO,CL,NYM,1,1,#N/A
DX,DX,NYC,1,1,#N/A
SBT,SB,NYC,1,1,#N/A
MCD,MCD,CME,10000,1,1
